No.	FileHandle	SoluteName	Formula	Subset	Charge	Level1	Level2	Level3	Solvent	DeltaGsolv	type	eps	n	alpha	beta	gamma	phi**2	psi**2	beta**2	H	C	HC	CC	CC2	N	HN	HN2	CN	NC	NC2	NC3	O	HO	HO2	OC	CO2	ON	OO	F	Cl	Br	I	FC	ClC	BrC	IC	Si	OSi	P	HP	OP	S	HS	OS	SP	SS	TotalArea
11	0087pro	propanoicacid	H6C3O2	[g]	0	2	5	0	4methyl2pentanone	-6.85	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	74.142	20.699	41.287	15.316	0	0	0	0	0	0	0	0	40.789	9.179	0	20.114	7.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.63
12	0088but	butanoicacid	H8C4O2	[g]	0	2	5	0	4methyl2pentanone	-7.44	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	96.172	23.176	56.103	18.152	0	0	0	0	0	0	0	0	40.743	9.17	0	20.084	7.915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.091
13	0107tri	trimethylamine	H9C3N1	[g]	0	3	1	0	4methyl2pentanone	-2.86	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	104.469	25.444	70.245	0	0	5.935	0	0	10.682	87.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.848
14	0111die	diethylamine	H11C4N1	[g]	0	3	1	0	4methyl2pentanone	-3.63	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	124.959	25.41	76.627	15.564	0	7.528	7.802	0	3.569	60.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.896
15	0116pyr	pyridine	H5C5N1	[g]	0	3	3	1	4methyl2pentanone	-5.33	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	64.653	57.425	43.744	60.8	0	14.301	0	0	11.58	47.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.379
16	0118ani	aniline	H7C6N1	[g]	0	3	2	0	4methyl2pentanone	-7.54	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	88.183	59.941	42.242	80.39	0	10.955	18.043	0	2.956	13.812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.079
17	0216amm	ammonia	H3N1	[g]	0	1	2	0	4methyl2pentanone	-2.52	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	44.788	0	0	0	0	17.444	31.315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.232
18	0228met	methylamine	H5C1N1	[g]	0	3	1	0	4methyl2pentanone	-4.14	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	67.139	10.981	26.288	0	0	12.243	19.658	0	4.546	42.967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.362
19	0508met	4-methyl-2-pentanone	H12C6O1	[g]	0	2	4	2	4methyl2pentanone	-5.23	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	136.054	34.177	91.612	27.043	0	0	0	0	0	0	0	0	20.712	0	0	13.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.943
20	0008noc	n-octane	H18C8	[g]	0	2	1	1	aceticacid	-3.93	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
21	0036tol	toluene	H8C7	[g]	0	2	1	6	aceticacid	-4.53	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
22	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	aceticacid	-5.25	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
23	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	aceticacid	-5.8	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
24	0076but	2-butanone	H8C4O1	[g]	0	2	4	2	aceticacid	-4.8	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	96.603	29.05	65.096	24.549	0	0	0	0	0	0	0	0	22.451	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.104
25	0086eth	aceticacid	H4C2O2	[g]	0	2	5	0	aceticacid	-5.3	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	50.326	18.311	25.273	11.467	0	0	0	0	0	0	0	0	43.233	9.17	0	21.68	8.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.87
26	0506nit	nitromethane	H3C1N1O2	[g]	0	4	2	0	aceticacid	-4.88	abs	6.2528	1.372	0.61	0.44	39.01	0	0	0.1936	36.939	11.231	24.965	0	0	4.146	0	0	4.454	14.279	0	0	53.926	0	0	0	0	32.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.242
27	0008noc	n-octane	H18C8	[g]	0	2	1	1	acetonitrile	-3.57	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
28	0036tol	toluene	H8C7	[g]	0	2	1	6	acetonitrile	-4.68	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
29	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	acetonitrile	-4.43	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
30	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	acetonitrile	-5.33	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
31	0076but	2-butanone	H8C4O1	[g]	0	2	4	2	acetonitrile	-4.73	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	96.603	29.05	65.096	24.549	0	0	0	0	0	0	0	0	22.451	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.104
32	0126eth	acetonitrile	H3C2N1	[g]	0	3	4	0	acetonitrile	-4.85	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	38.186	30.572	25.764	19.707	0	27.654	0	0	10.972	5.967	0	17.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.412
33	0506nit	nitromethane	H3C1N1O2	[g]	0	4	2	0	acetonitrile	-5.62	abs	35.6881	1.3442	0.07	0.32	41.25	0	0	0.1024	36.939	11.231	24.965	0	0	4.146	0	0	4.454	14.279	0	0	53.926	0	0	0	0	32.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.242
34	0008noc	n-octane	H18C8	[g]	0	2	1	1	acetophenone	-4.24	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
35	0036tol	toluene	H8C7	[g]	0	2	1	6	acetophenone	-4.9	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
36	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	acetophenone	-4.12	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
37	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	acetophenone	-5.03	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
38	0076but	2-butanone	H8C4O1	[g]	0	2	4	2	acetophenone	-4.39	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	96.603	29.05	65.096	24.549	0	0	0	0	0	0	0	0	22.451	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.104
39	0084met	acetophenone	H8C8O1	[g]	0	2	4	2	acetophenone	-7.59	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	92.659	73.893	62.626	95.692	0	0	0	0	0	0	0	0	22.358	0	0	14.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.909
40	0086eth	aceticacid	H4C2O2	[g]	0	2	5	0	acetophenone	-6.2	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	50.326	18.311	25.273	11.467	0	0	0	0	0	0	0	0	43.233	9.17	0	21.68	8.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.87
41	0506nit	nitromethane	H3C1N1O2	[g]	0	4	2	0	acetophenone	-4.92	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	36.939	11.231	24.965	0	0	4.146	0	0	4.454	14.279	0	0	53.926	0	0	0	0	32.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.242
42	n017	hydrogenperoxide	H2O2	[g]	0	2	8	0	acetophenone	-7.3	abs	17.44	1.5372	0	0.48	56.19	0.444889	0	0.2304	27.746	0	0	0	0	0	0	0	0	0	0	0	44.198	19.784	0	0	0	0	28.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.944
43	0008noc	n-octane	H18C8	[g]	0	2	1	1	aniline	-3.48	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
44	0036tol	toluene	H8C7	[g]	0	2	1	6	aniline	-4.57	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
45	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	aniline	-4.45	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
46	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	aniline	-5.65	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
47	0076but	2-butanone	H8C4O1	[g]	0	2	4	2	aniline	-4.87	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	96.603	29.05	65.096	24.549	0	0	0	0	0	0	0	0	22.451	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.104
48	0086eth	aceticacid	H4C2O2	[g]	0	2	5	0	aniline	-6.3	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	50.326	18.311	25.273	11.467	0	0	0	0	0	0	0	0	43.233	9.17	0	21.68	8.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.87
49	0087pro	propanoicacid	H6C3O2	[g]	0	2	5	0	aniline	-6.2	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	74.142	20.699	41.287	15.316	0	0	0	0	0	0	0	0	40.789	9.179	0	20.114	7.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.63
50	0118ani	aniline	H7C6N1	[g]	0	3	2	0	aniline	-7.61	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	88.183	59.941	42.242	80.39	0	10.955	18.043	0	2.956	13.812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.079
51	0506nit	nitromethane	H3C1N1O2	[g]	0	4	2	0	aniline	-5.11	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	36.939	11.231	24.965	0	0	4.146	0	0	4.454	14.279	0	0	53.926	0	0	0	0	32.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.242
52	n017	hydrogenperoxide	H2O2	[g]	0	2	8	0	aniline	-7.8	abs	6.8882	1.5863	0.26	0.41	60.62	0.734449	0	0.1681	27.746	0	0	0	0	0	0	0	0	0	0	0	44.198	19.784	0	0	0	0	28.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.944
53	0008noc	n-octane	H18C8	[g]	0	2	1	1	anisole	-4.62	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
54	0036tol	toluene	H8C7	[g]	0	2	1	6	anisole	-4.95	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
55	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	anisole	-3.59	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
56	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	anisole	-5.06	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
57	0068ani	anisole	H8C7O1	[g]	0	2	3	0	anisole	-6.33	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	95.456	68.582	64.505	79.037	0	0	0	0	0	0	0	0	12.457	0	0	3.299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.496
58	0076but	2-butanone	H8C4O1	[g]	0	2	4	2	anisole	-4.43	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	96.603	29.05	65.096	24.549	0	0	0	0	0	0	0	0	22.451	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.104
59	0110but	butylamine	H11C4N1	[g]	0	3	1	0	anisole	-4.44	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	132.847	19.503	71.584	15.978	0	11.893	18.504	0	1.624	38.554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.243
60	0506nit	nitromethane	H3C1N1O2	[g]	0	4	2	0	anisole	-4.69	abs	4.2247	1.5174	0	0.29	50.52	0.5625	0	0.0841	36.939	11.231	24.965	0	0	4.146	0	0	4.454	14.279	0	0	53.926	0	0	0	0	32.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.242
61	0005npe	n-pentane	H12C5	[g]	0	2	1	1	benzene	-2.99	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	142.678	28.033	96.048	23.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.711
62	0006nhe	n-hexane	H14C6	[g]	0	2	1	1	benzene	-3.62	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	164.387	30.708	110.642	26.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.095
63	0008noc	n-octane	H18C8	[g]	0	2	1	1	benzene	-5.35	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
64	0018cyc	cyclohexane	H12C6	[g]	0	2	1	3	benzene	-4.05	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	143.245	23.821	96.383	29.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.066
65	0035ben	benzene	H6C6	[g]	0	2	1	6	benzene	-4.55	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	77.548	65.297	52.481	87.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.845
66	0036tol	toluene	H8C7	[g]	0	2	1	6	benzene	-5.32	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
67	0044met	methanol	H4C1O1	[g]	0	2	2	1	benzene	-2.58	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	52.775	11.719	26.292	0	0	0	0	0	0	0	0	0	19.815	9.816	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.309
68	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	benzene	-3.42	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
69	0047pro	1-propanol	H8C3O1	[g]	0	2	2	1	benzene	-3.87	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	99.3	17.234	57.569	12.949	0	0	0	0	0	0	0	0	18.022	9.837	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.556
70	0048pro	isopropanol	H8C3O1	[g]	0	2	2	1	benzene	-3.48	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	96.348	18.269	56.984	12.25	0	0	0	0	0	0	0	0	17.93	8.387	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.546
71	0049but	1-butanol	H10C4O1	[g]	0	2	2	1	benzene	-4.45	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	121.113	19.833	72.23	16.122	0	0	0	0	0	0	0	0	18.032	9.834	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.978
72	0050met	t-butanol	H10C4O1	[g]	0	2	2	1	benzene	-3.7	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	114.734	21.73	69.575	13.36	0	0	0	0	0	0	0	0	15.936	8.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.4
73	0052pen	1-pentanol	H12C5O1	[g]	0	2	2	1	benzene	-5.1	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	141.224	22.687	86.487	19.584	0	0	0	0	0	0	0	0	19.012	9.06	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.924
74	0053phe	phenol	H6C6O1	[g]	0	2	2	2	benzene	-7.12	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	74.866	60.488	42.537	81.184	0	0	0	0	0	0	0	0	18.392	8.575	0	4.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.746
75	0054hex	1-hexanol	H14C6O1	[g]	0	2	2	1	benzene	-6.13	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	162.885	25.384	101.054	22.886	0	0	0	0	0	0	0	0	19.013	9.054	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.282
76	0055ocr	o-cresol	H8C7O1	[g]	0	2	2	2	benzene	-7.44	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	96.156	63.514	56.868	82.409	0	0	0	0	0	0	0	0	15.657	8.542	0	3.438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.327
77	0056mcr	m-cresol	H8C7O1	[g]	0	2	2	2	benzene	-6.66	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	96.138	62.885	56.85	81.215	0	0	0	0	0	0	0	0	18.419	8.543	0	4.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.442
78	0057pcr	p-cresol	H8C7O1	[g]	0	2	2	2	benzene	-7.35	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	96.461	62.796	57.007	81.107	0	0	0	0	0	0	0	0	18.429	8.595	0	4.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.686
79	0058hep	1-heptanol	H16C7O1	[g]	0	2	2	1	benzene	-6.85	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	184.583	28.065	115.633	26.186	0	0	0	0	0	0	0	0	19.012	9.061	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231.66
80	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	benzene	-5.21	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
81	0075pro	acetone	H6C3O1	[g]	0	2	4	2	benzene	-3.79	abs	2.2706	1.5011	0	0.14	40.62	1	0	0.0196	73.178	26.503	49.331	20.806	0	0	0	0	0	0	0	0	24.984	0	0	16.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.665
